date,key,name,AM,PM,ISCS
2024-02-13 0:00,108,서울,서리 연무 결빙 박무,박무,-て-てゎ0300-てゎ0600-0730. こ0725-こゎ0900-1020. て1015-1120. こ2140-こゎ2400-
2024-02-16 0:00,108,서울,결빙 서리,박무 서리 결빙,こ2340-こゎ2400-
2024-02-17 0:00,108,서울,서리 결빙 박무,연무 박무,-こ-こゎ0300-こゎ0600-こゎ0900-1005. て1935-てゎ2100-2130. こ2245-こゎ2400-
2024-02-18 0:00,108,서울,박무 서리,ぁ 박무,-こ-こゎ0300-こゎ0600-こゎ0900-0905. ぁ1355-ぁゎ1500-ぁわ1800-ぁゎ2100-ぁゎ2400- こ1705-こゎ1800-こゎ2100-こわ2400-
2024-02-25 0:00,108,서울,눈 박무 신적설 적설 진눈깨비,서리,-ぅ-ぅ0250-ぅゎ0300-ぅゎ0600-う0850-うゎ0900-1025. -こ-0250. こ0330-こゎ0600-0650. こ0750-0835.
2024-02-26 0:00,108,서울,서리 결빙 박무,,こ0245-こゎ0300-こゎ0600-0810.
2024-02-29 0:00,108,서울,박무 서리,연무 결빙,こ0125-こゎ0300-こゎ0600-0715. て1610-1730. て1950-てゎ2100-2110.
2024-03-03 0:00,108,서울,박무 서리 결빙 연무,연무 박무 서리 결빙,-こ-こゎ0300-こわ0600-こわ0900-0950. て0945-てゎ1200-てゎ1500-てゎ1800-てわ2100-2225. こ2220-こわ2400-
2024-03-04 0:00,108,서울,서리 결빙 박무,햇무리,-こ-こわ0300-0540. は1650-1745.
2024-03-08 0:00,108,서울,서리 결빙 연무,결빙,て0505-てゎ0600-0810.
2024-03-09 0:00,108,서울,결빙,서리 결빙,
2024-03-10 0:00,108,서울,서리 결빙,이슬,
2024-03-13 0:00,108,서울,서리 결빙,,
2024-03-14 0:00,108,서울,연무 박무 서리,연무,て0055-てゎ0300-0550. こ0545-こゎ0600-こゎ0900-1010. て1005-1150. て1335-1405. て2150-てゎ2400-
2024-03-15 0:00,108,서울,박무 연무 서리,연무 박무,こ0050-こゎ0300-こゎ0600-こゎ0900-0905. -て-0055. て1025-1140. て1845-てゎ2100-2355. こ2350-こゎ2400-
2024-03-18 0:00,108,서울,서리 결빙,,
2024-03-21 0:00,108,서울,결빙 서리,,
2024-11-06 0:00,108,서울,서리,,
2024-11-07 0:00,108,서울,서리 결빙,,
2024-11-08 0:00,108,서울,서리 결빙,,
2024-11-18 0:00,108,서울,결빙,서리 결빙,
2024-11-22 0:00,108,서울,서리,서리,
2024-11-23 0:00,108,서울,서리 결빙,,
2024-11-24 0:00,108,서울,서리 결빙,,
2024-11-25 0:00,108,서울,서리,ぁ,ぁ2335-ぁゎ2400-
2024-12-03 0:00,108,서울,결빙 서리,눈,ぅ2255-ぅゎ2400-
2024-12-04 0:00,108,서울,눈 결빙 서리,,-ぅ-0030.
2024-12-05 0:00,108,서울,서리 결빙,ぁ,ぁ1605-1658.
2024-12-06 0:00,108,서울,서리 결빙,서리 결빙,
2024-12-07 0:00,108,서울,서리 결빙,결빙,
2024-12-08 0:00,108,서울,결빙 서리,결빙,
2024-12-09 0:00,108,서울,결빙 서리,결빙 서리,
2024-12-10 0:00,108,서울,서리 결빙,햇무리 결빙,は1555-1645.
2024-12-12 0:00,108,서울,결빙 서리,결빙,
2024-12-13 0:00,108,서울,결빙,서리 결빙,
2024-12-14 0:00,108,서울,서리 결빙,결빙,
2024-12-15 0:00,108,서울,결빙 눈 서리,결빙 서리,ぅ0450-0505. ぅ1043-1048.
2024-12-16 0:00,108,서울,서리 결빙,눈 서리 결빙,ぅ1220-ぅゎ1500-1705.
2024-12-17 0:00,108,서울,서리 결빙,결빙,
2024-12-18 0:00,108,서울,결빙 서리,결빙,
2024-12-19 0:00,108,서울,결빙,결빙 서리,
2024-12-20 0:00,108,서울,서리 결빙,눈 신적설 적설 싸락눈 결빙,ぅ1956-ぅゎ2100-お2135-ぅ2145-ぅゎ2400-
2024-12-23 0:00,108,서울,결빙 적설,적설 결빙 서리,
2024-12-24 0:00,108,서울,서리 결빙,서리 결빙,
2024-12-25 0:00,108,서울,서리 결빙,ぁ 박무,ぁ1950-1955. ぁ2215-2240. こ2315-こゎ2400-
2024-12-29 0:00,108,서울,결빙 서리,결빙,
2025-01-01 0:00,108,서울,결빙,서리 결빙,
2025-01-02 0:00,108,서울,서리 결빙,결빙,
2025-01-03 0:00,108,서울,결빙 서리,눈 결빙,ぅ2052-ぅゎ2100-2122. 
2025-01-04 0:00,108,서울,결빙 서리,결빙,
2025-01-10 0:00,108,서울,결빙 서리,결빙 서리,
2025-01-11 0:00,108,서울,서리 결빙,결빙 서리,
2025-01-12 0:00,108,서울,결빙 서리,결빙 서리,
2025-01-13 0:00,108,서울,눈 서리 결빙,눈 진눈깨비 박무 신적설 적설 결빙,ぅ0755-ぅゎ0900-0940. ぅ1435-ぅゎ1500-う1645-ぅ1655-う1725-うゎ1800-1915. う2205-2305.  こ1920-こゐ2100-こゐ2400-
2025-01-17 0:00,108,서울,박무 연무 결빙 서리,연무 결빙,こ0810-こゎ0900-1050.  て1045-てゎ1200-1225. 
2025-01-18 0:00,108,서울,결빙 서리,결빙,
2025-01-20 0:00,108,서울,ぁ 박무 연무,박무 연무 서리 결빙,ぁ0215-0225.  -こ-こゎ0300-こゎ0600-こゎ0900-1150. こ2315-こわ2400- て1145-てわ1200-てゎ1500-てゎ1800-てわ2100-2320. 
2025-01-21 0:00,108,서울,박무 서리 결빙,박무 연무 서리 결빙,-こ-こわ0300-こわ0600-こわ0900-こわ1200-1340. こ1950-こわ2100-こゎ2400- て1335-てわ1500-てわ1800-1955. 
2025-01-22 0:00,108,서울,박무 결빙 서리,박무 연무 결빙,-こ-こわ0300-こゎ0600-こわ0900-こゎ1200-1220.  て1215-てゎ1500-1540. て1810-2050. て2150-てゎ2400-
2025-01-23 0:00,108,서울,박무 연무 결빙 서리,결빙 서리,こ0340-こゎ0600-0810.  -て-0250. 
2025-01-24 0:00,108,서울,결빙 서리,결빙 서리,
2025-01-25 0:00,108,서울,서리 결빙,결빙,
2025-02-01 0:00,108,서울,박무 적설 결빙,적설 결빙 서리,-こ-こゎ0300-こゎ0600-こゎ0900-1130. 
2025-02-02 0:00,108,서울,서리 결빙,눈 박무 결빙,ぅ2150-2155.  こ2150-こゎ2400-
2025-02-09 0:00,108,서울,결빙 적설 서리,결빙 서리,
2025-02-10 0:00,108,서울,서리 결빙,눈 결빙 서리,ぅ1340-ぅゎ1500-1515. 
2025-02-11 0:00,108,서울,서리 결빙,결빙,
2025-02-13 0:00,108,서울,결빙 적설,결빙 서리,
2025-02-14 0:00,108,서울,서리 결빙,박무 연무 서리 결빙,こ2250-こゎ2400- て2040-てゎ2100-2255. 
2025-02-15 0:00,108,서울,박무 서리 결빙,박무 연무 결빙,-こ-こわ0300-こゎ0600-こゎ0900-こゎ1200-1225. こ2335-こゎ2400- て1220-1450. 
2025-02-16 0:00,108,서울,박무 결빙 서리,박무 연무 결빙,-こ-こゎ0300-こゎ0600-こゎ0900-1140. こ1825-こわ2100-2155.  て1240-てゎ1500-てわ1800-1830. て2150-2220. 
2025-02-20 0:00,108,서울,결빙 서리,결빙,
2025-02-21 0:00,108,서울,결빙 서리,결빙,
2025-02-22 0:00,108,서울,결빙 서리,결빙,
2025-02-23 0:00,108,서울,결빙 서리,결빙,
2025-02-24 0:00,108,서울,결빙 서리,결빙,
2025-02-25 0:00,108,서울,결빙 서리,박무,こ2320-こゎ2400-
2025-02-26 0:00,108,서울,박무 연무 결빙 서리,결빙,-こ-こゎ0300-こわ0600-こわ0900-0935.  て0930-1059. 
2025-03-01 0:00,108,서울,이슬 박무 연무 서리 결빙,ぁ 연무,こ0115-こゎ0300-こゎ0600-こゎ0900-1010. -て-0120. て1005-てゎ1200-てゎ1500-てゎ1800-てゎ2100-てゎ2400- ぁ1420-ぁゎ1500-1535. ぁ1830-1845.
2025-03-06 0:00,108,서울,서리 결빙,,
2025-03-07 0:00,108,서울,서리 결빙 연무,,て0920-1015.
2025-03-09 0:00,108,서울,서리 박무 결빙 연무,연무,-こ-こゎ0300-こゎ0600-こゎ0900-1010. て1005-てゎ1200-1340. て1755-てゎ1800-てゎ2100-てゎ2400-
2025-03-10 0:00,108,서울,서리 연무 결빙 박무,연무,-て-てゎ0300-0440. こ0435-こゎ0600-こゎ0900-0930. て0925-てゎ1200-1350. て1905-てゎ2100-てゎ2400-
2025-03-11 0:00,108,서울,연무 서리 결빙,,-て-てゎ0300-てゎ0600-てゎ0900-1110.
2025-03-19 0:00,108,서울,결빙 서리,,
2025-03-30 0:00,108,서울,눈 결빙 서리,눈,ぅ1115-ぅゎ1200-ぅゎ1500-1555. 
2025-03-31 0:00,108,서울,서리 결빙,연무,て2350-てゎ2400-
2025-04-01 0:00,108,서울,박무 연무 이슬 서리,,こ0250-こゎ0300-こゎ0600-こゎ0900-0930.  -て-0255. て0925-1115. 
2025-04-03 0:00,108,서울,박무 연무 서리,,こ0535-こゎ0600-0840.  て0005-てゎ0300-0540. 
2019-01-01 0:00,112,인천,결빙 연무 서리,결빙,-て-てゎ0300-0350.
2019-01-02 0:00,112,인천,결빙 서리,결빙 연무,て1755-てゎ1800-1820.
2019-01-03 0:00,112,인천,결빙 서리,결빙 서리,
2019-01-04 0:00,112,인천,서리 결빙 박무 연무,결빙 연무 눈 박무 서리,こ0410-0525. て0520-てゎ0600-0740. て0905-0950. て1150-てゎ1200-1250. て1530-1755. ぅ1620-1635. こ1750-こゎ1800-こゎ2100-こわ2400-
2019-01-05 0:00,112,인천,서리 결빙 박무 연무,결빙,-こ-こゐ0300-0345. て0340-0510. て0550-てゎ0600-0630.
2019-01-06 0:00,112,인천,결빙,결빙 서리,
2019-01-07 0:00,112,인천,서리 결빙 박무 연무,연무 결빙 서리,こ0120-こゎ0300-0325. て0935-1050. て1245-てゎ1500-てゎ1800-てゎ2100-2335.
2019-01-08 0:00,112,인천,서리 결빙,결빙,
2019-01-12 0:00,112,인천,연무 결빙,연무 결빙 서리 박무,-て-てわ0300-てゎ0600-てゎ0900-てゎ1200-てゎ1500-てゎ1800-てわ2100-2355. こ2350-こわ2400-
2019-01-13 0:00,112,인천,서리 결빙 연무 박무,연무 박무 서리 결빙,て0230-てわ0300-てわ0600-0650. -こ-0235. こ0645-0825. て0820-てわ0900-てゎ1200-てゎ1500-てわ1800-1930. こ1925-こわ2100-こゐ2400-
2019-01-14 0:00,112,인천,서리 결빙 박무 안개,안개 박무 연무,-こ-こゐ0300-よりぐ0330-らりこ0345-よりぐ0555-ぐゎ0600-よるぐ0701-らるぐ0810-よるぐ0854-ぐわ0900-らるぐ0915-らりこ0937-よりぐ1025-らりこ1146-こゐ1200-よりぐ1210-らりこ1241-1310. て1305-てゐ1500-てゐ1800-てゐ2100-2155. こ2150-よりぐ2318-ぐゎ2400-
2019-01-15 0:00,112,인천,안개 박무 결빙 서리 연무,연무 결빙,-ぐ-ぐゎ0300-らりこ0345-こゐ0600-こゐ0900-1055. て1050-てわ1200-てゎ1500-1510.
2019-01-16 0:00,112,인천,결빙 서리,결빙 눈,ぅ2020-ぅゎ2100-ぅゎ2400-
2019-01-18 0:00,112,인천,결빙 서리 연무,연무 결빙,て0950-1005. て1525-てゎ1800-てゎ2100-てゎ2400-
2019-01-21 0:00,112,인천,서리 결빙,연무,て1525-てゎ1800-1825. て2145-2335.
2019-01-22 0:00,112,인천,결빙 서리 박무 연무,연무,こ0515-こゎ0600-こゎ0900-1015. て1010-1105. て1540-てゎ1800-てゎ2100-てゎ2400-
2019-01-23 0:00,112,인천,박무 연무 서리 결빙,연무 결빙,こ0130-こわ0300-こわ0600-こゐ0900-1050. -て-0135. て1045-てゎ1200-1235.
2019-01-24 0:00,112,인천,결빙,서리 결빙,
2019-01-25 0:00,112,인천,서리 결빙,결빙,
2019-01-27 0:00,112,인천,서리 결빙,,
2019-02-01 0:00,112,인천,결빙,서리 결빙,
2019-02-02 0:00,112,인천,연무 서리 결빙,연무 ぁ,て0250-てゎ0300-0535. て0935-てゎ1200-てゎ1500-てゎ1800-てゎ2100-てゎ2400- ぁ2305-ぁゎ2400-
2019-02-18 0:00,112,인천,결빙 서리,,
2019-02-20 0:00,112,인천,박무 결빙 연무,연무 박무 서리 결빙,こ0130-こゎ0300-こゎ0600-こゎ0900-1025. て1020-てわ1200-てわ1500-てわ1800-2015. こ2010-こわ2100-2110. て2105-2130. こ2125-2255. て2250-てゎ2400-
2019-02-21 0:00,112,인천,서리 결빙 연무 박무,연무 결빙 박무 서리,-て-てゎ0300-てゎ0600-0620. こ0615-0830. て0825-てゎ0900-てゎ1200-てゎ1500-てゎ1800-てゎ2100-2235. こ2230-こゎ2400-
2019-02-22 0:00,112,인천,서리 결빙 박무 연무,연무 박무 서리,-こ-こわ0300-0520. て0515-てゎ0600-0715. こ0710-こわ0900-0950. て0945-てゎ1200-1420. て1815-2010. こ2005-こわ2100-こゎ2400-
2019-02-23 0:00,112,인천,연무 박무 서리,연무,て0015-0135. -こ-0020. こ0130-こわ0300-こゐ0600-こわ0900-0940. て0935-1050. て1220-てゎ1500-1515. て1645-てゎ1800-1935. て2220-てゎ2400-
2019-02-24 0:00,112,인천,연무 박무 서리 결빙,연무 박무 안개,-て-てゎ0300-0555. こ0550-こわ0600-0740. て0735-てわ0900-てゎ1200-てゎ1500-てゎ1800-1950. こ1945-よりぐ2030-よるぐ2042-よれぐ2048-ぐゐ2100-られぐ2104-よれぐ2125-よろぐ2145-らろぐ2215-よろぐ2225-らろぐ2240-ぐゐ2400-
2019-02-26 0:00,112,인천,서리 결빙,,
2019-02-28 0:00,112,인천,연무 박무 서리,연무 박무,て0055-0140. こ0135-こゎ0300-こゎ0600-こわ0900-1015. て1010-てゎ1200-てゎ1500-1650. て1820-てわ2100-2320. こ2315-こわ2400-
2019-03-01 0:00,112,인천,연무 박무 서리,연무 박무,て0130-てゎ0300-0355. -こ-0135. こ0350-こわ0600-0845. て0840-てわ0900-てわ1200-てわ1500-てわ1800-1920. こ1915-こゐ2100-2255. て2250-てわ2400-
2019-03-02 0:00,112,인천,박무 연무 안개 서리,연무,こ0050-よりぐ0130-ぐゎ0300-らりこ0357-こゐ0600-0830. -て-0055. て0825-てゐ0900-てわ1200-てわ1500-てゎ1800-てゎ2100-てゎ2400-
2019-03-03 0:00,112,인천,연무 서리,연무,-て-てゎ0300-てわ0600-てわ0900-てゎ1200-てわ1500-てわ1800-てわ2100-てわ2400-
2019-03-08 0:00,112,인천,서리 결빙 연무,박무 서리,て0810-てゎ0900-1010. こ2320-こゎ2400-
2019-03-09 0:00,112,인천,서리 박무 결빙 연무 햇무리,연무 햇무리,-こ-こゎ0300-こわ0600-0810. て0805-0830. こ0825-こわ0900-1020. て1015-てゎ1200-1240. は1155-1420.
2019-03-14 0:00,112,인천,서리 결빙,박무,こ2120-こわ2400-
2019-03-16 0:00,112,인천,박무 서리 연무,,-こ-こゎ0300-こゎ0600-こゎ0900-0955. て0950-1145.
2019-03-17 0:00,112,인천,박무 서리,,こ0040-こゎ0300-こゎ0600-こゎ0900-1010.
2019-03-18 0:00,112,인천,서리 박무 연무,햇무리,こ0325-こゎ0600-0810. て0805-てゎ0900-0905. は1255-1705.
2019-03-23 0:00,112,인천,서리 결빙 소나기 진눈깨비 우박 박무 뇌전,우박 박무 ぁ,い1110-う1120-い1125-う1135-ぎ(d 1.0)1140-ぎゐ1200-1210. こ1140-こゎ1200-1210. ぁ1325-1340.
2019-03-24 0:00,112,인천,서리 결빙,,
2019-11-20 0:00,112,인천,결빙 서리 서릿발,,
2019-11-26 0:00,112,인천,박무 서리 결빙,연무,こ0355-0445. こ0520-こゎ0600-0730. て1845-1925.
2019-11-29 0:00,112,인천,결빙 서리,,
2019-11-30 0:00,112,인천,서리 결빙 연무,연무,て1115-てゎ1200-1205. て2155-2215.
2019-12-03 0:00,112,인천,결빙 서리 눈 박무,박무 ぁ 진눈깨비 싸락눈,ぅ0950-1135. こ1030-こゎ1200-1220. ぁ1720-1740. ぁ1820-ぁゎ2100-う2225-お2230-う2235-ぁ2255-ぁゎ2400- こ2240-2315.
2019-12-06 0:00,112,인천,결빙,서리 결빙,
2019-12-07 0:00,112,인천,서리 결빙 눈 연무,눈 연무 박무 서리 결빙,ぅ0230-0255. ぅ1045-ぅゎ1200-1215. て1055-てゎ1200-てゎ1500-てゎ1800-2010. こ2005-こゎ2100-2255. て2250-てゎ2400-
2019-12-08 0:00,112,인천,서리 결빙 연무 박무,연무,-て-てゎ0300-0545. こ0540-こゎ0600-こわ0900-0950. て0945-てゎ1200-てゎ1500-1545. て2055-てゎ2100-2330.
2019-12-09 0:00,112,인천,연무 결빙 서리,연무 ぁ,て0010-てゎ0300-てゎ0600-てゎ0900-てゎ1200-てゎ1500-てゎ1800-てゎ2100-てゎ2400- ぁ1605-1755.
2019-12-12 0:00,112,인천,결빙,서리 결빙,
2019-12-15 0:00,112,인천,결빙 연무 서리,연무,て0415-てゎ0600-てゎ0900-1045. て1235-1430. て1815-てゎ2100-てゎ2400-
2019-12-18 0:00,112,인천,박무 서리 결빙,결빙,-こ-こゎ0300-0320.
2019-12-19 0:00,112,인천,결빙 서리,눈 연무 결빙,ぅ2315-ぅゎ2400- て2355-てゎ2400-
2019-12-24 0:00,112,인천,서리 결빙 박무 연무,연무 서리 결빙,-こ-こわ0300-こわ0600-こゐ0900-1115. て1110-てゎ1200-てゎ1500-1715. て2045-てゎ2100-てゎ2400-
2019-12-25 0:00,112,인천,서리 결빙 연무 박무,연무,-て-てゎ0300-0350. こ0345-こわ0600-こわ0900-1040. て1035-てゎ1200-てゎ1500-てゎ1800-1950.
2019-12-27 0:00,112,인천,결빙 연무 서리,결빙,て0410-てゎ0600-てゎ0900-1045.
2020-01-03 0:00,112,인천,연무 박무 결빙 서리,연무 결빙 서리,-て-てゎ0300-0515. こ0510-こわ0600-こわ0900-1010. て1005-てゎ1200-1415. て1805-てゎ2100-てゎ2400-
2020-01-04 0:00,112,인천,서리 결빙 박무 연무,연무 결빙,こ0135-こわ0300-こわ0600-こわ0900-1055. -て-0140. て1050-てわ1200-1430. て1825-1945. て2345-てゎ2400-
2020-01-05 0:00,112,인천,결빙 서리 연무,햇무리 채운 연무 결빙,-て-てゎ0300-てゎ0600-てゎ0900-1015. は1250- び1430-1520.1630. て1740-てゎ1800-1850. て2350-てゎ2400-
2020-01-09 0:00,112,인천,결빙 박무 서리 연무,연무 결빙,-こ-こゎ0300-こゎ0600-こゎ0900-1035. て1030-てゎ1200-てゎ1500-てゎ1800-1855. て2025-てゎ2100-てゎ2400-
2020-01-10 0:00,112,인천,박무 연무 서리 결빙,연무 서리 결빙,こ0105-こわ0300-こわ0600-こわ0900-1115. -て-0110. て1110-てわ1200-てゎ1500-てゎ1800-1850. て1920-てゎ2100-てゎ2400-
2020-01-11 0:00,112,인천,서리 결빙 연무 박무,연무 결빙,-て-てゎ0300-0445. こ0440-こわ0600-こゎ0900-1020. て1015-1140. て1205-1335. て1610-てゎ1800-てゎ2100-てゎ2400-
2020-01-13 0:00,112,인천,결빙 서리,결빙 서리,
2020-01-14 0:00,112,인천,서리 결빙 연무,서리 결빙,て0845-てわ0900-1025.
2020-01-15 0:00,112,인천,서리 결빙 연무,결빙 서리,て0240-てゎ0300-0555. て0745-てゎ0900-0910.
2020-01-16 0:00,112,인천,서리 결빙,연무 결빙,て2355-てゎ2400-
2020-01-18 0:00,112,인천,결빙 연무 서리,결빙,-て-てゎ0300-てゎ0600-てゎ0900-1120.
2020-01-20 0:00,112,인천,결빙 연무 서리,연무 결빙,-て-0135. て0215-てゎ0300-0405. て0725-てゎ0900-1005. て1435-てゎ1500-1545.
2020-01-24 0:00,112,인천,박무 연무 결빙 서리,연무,こ0015-こゎ0300-こゎ0600-こわ0900-1040. -て-0020. て1035-てゎ1200-てゎ1500-てゎ1800-てゎ2100-てゎ2400-
2020-01-26 0:00,112,인천,연무 서리 결빙,,-て-てゎ0300-てゎ0600-てゎ0900-1125.
2020-01-30 0:00,112,인천,,서리,
2020-01-31 0:00,112,인천,서리 박무 연무,연무 박무 서리,こ0750-0855. こ0915-1045. て1040-1145. て1250-1415. て1930-てゎ2100-2225. こ2220-こゎ2400-
2020-02-01 0:00,112,인천,박무 서리 연무 결빙,연무,-こ-0210. て0350-0525. こ0520-こゎ0600-0825. て0820-てゎ0900-てゎ1200-てわ1500-てわ1800-てゎ2100-てゎ2400-
2020-02-02 0:00,112,인천,결빙 연무 서리,연무 눈,-て-てゎ0300-てわ0600-てゎ0900-てゎ1200-てゎ1500-1520. ぅ2350-ぅゎ2400-
2020-02-04 0:00,112,인천,결빙 서리,눈 연무 진눈깨비 박무 결빙,ぅ1350-ぅゎ1500-う1745-うゎ1800-1910. て1445-てわ1500-1550. こ1755-こゎ1800-2015. ぅ2055-ぅゎ2100-2150.
2020-02-06 0:00,112,인천,결빙,결빙 서리,
2020-02-07 0:00,112,인천,서리 결빙,눈 결빙,ぅ2050-ぅゎ2100-2330.
2020-02-09 0:00,112,인천,결빙 서리,,
2020-02-10 0:00,112,인천,눈 연무 서리 결빙 박무,연무,ぅ0210-0240. て0250-てゎ0300-てゎ0600-0740. こ0735-こわ0900-0955. て0950-てゎ1200-1205. て1345-てゎ1500-1505.
2020-02-11 0:00,112,인천,연무 박무 서리,연무,て0505-0555. こ0550-こゎ0600-0615. て0610-てゎ0900-0955. て1120-てゎ1200-1240. て2345-てゎ2400-
2020-02-18 0:00,112,인천,적설 결빙,적설 서리 결빙,
2020-02-19 0:00,112,인천,서리 결빙,연무,て1905-てゎ2100-てゎ2400-
2020-02-20 0:00,112,인천,박무 연무 서리,연무 박무 서리,こ0050-こゎ0300-こゎ0600-こわ0900-1030. -て-0055. て1025-てゎ1200-てゎ1500-てゎ1800-てゎ2100-2120. こ2115-こゎ2400-
2020-02-21 0:00,112,인천,박무 서리 연무,연무 ぁ,-こ-こわ0300-こゎ0600-こゎ0900-0910. て0905-てゎ1200-1355. ぁ1850-ぁゎ2100-ぁゎ2400-
2020-02-23 0:00,112,인천,서리 결빙,서리,
2020-02-24 0:00,112,인천,서리,연무 ぁ,て2240-てゎ2400- ぁ2350-ぁゎ2400-
2020-02-27 0:00,112,인천,서리,,
2020-03-02 0:00,112,인천,박무 연무 결빙,서리,-こ-こゎ0300-0555. て0550-てゎ0600-0750.
2020-03-03 0:00,112,인천,서리 연무,연무,て0055-てゎ0300-てゎ0600-てゎ0900-てゎ1200-てゎ1500-てゎ1800-1945.
2020-03-06 0:00,112,인천,서리 결빙 연무 박무,,て0510-てゎ0600-0715. こ0710-0830. て0825-てゎ0900-0930.
2020-03-08 0:00,112,인천,연무 서리 박무,연무 달무리,て0210-てゎ0300-0350. こ0345-こゎ0600-0750. て0745-てゎ0900-てわ1200-てゎ1500-てゎ1800-てゎ2100-てゎ2400- ば2330-
2020-03-12 0:00,112,인천,서리,,
2020-04-02 0:00,112,인천,서리,,
2020-04-06 0:00,112,인천,서리,,
2020-11-10 0:00,112,인천,서리,,
2020-11-20 0:00,112,인천,ぁ,서리,-ぁ-0125.
2020-11-21 0:00,112,인천,서리 박무 결빙,연무 ぁ 박무,こ0650-0725. て1840-てゎ2100-2220. ぁ2030-ぁゎ2100-ぁゎ2400- こ2310-こゐ2400-
2020-11-23 0:00,112,인천,결빙 서리,,
2020-11-25 0:00,112,인천,서리 결빙,연무,て2005-てゎ2100-てゎ2400-
2020-11-26 0:00,112,인천,연무 서리,연무,-て-てゎ0300-てゎ0600-てゎ0900-てゎ1200-1210. て1605-1650. て1850-てゎ2100-てゎ2400-
2020-11-29 0:00,112,인천,결빙,눈 결빙 서리,ぅ1250-1320.
2020-11-30 0:00,112,인천,서리 결빙,결빙,
2020-12-01 0:00,112,인천,결빙 서리,,
2020-12-04 0:00,112,인천,결빙 서리,결빙,
2020-12-05 0:00,112,인천,결빙 서리,,
2020-12-08 0:00,112,인천,결빙 서리,결빙,
2020-12-09 0:00,112,인천,결빙 서리,연무,て2335-てゎ2400-
2020-12-11 0:00,112,인천,박무 안개 서리 연무,연무 박무,-こ-らりこ0029-よりぐ0113-らりこ0142-こゐ0300-こわ0600-こゐ0900-1010. て1005-てゎ1200-てわ1500-てわ1800-1955. こ1950-こゐ2100-2220. て2215-てわ2400-
2020-12-12 0:00,112,인천,박무 연무 결빙,서리,こ0030-0115. -て-0035. て0110-0240. て0440-てゎ0600-てゎ0900-1030.
2020-12-17 0:00,112,인천,결빙 서리,결빙 눈 신적설 적설,ぅ2145-ぅゎ2400-
2020-12-20 0:00,112,인천,결빙,결빙 서리,
2020-12-21 0:00,112,인천,결빙 서리,연무 결빙 서리,て2210-てゎ2400-
2020-12-22 0:00,112,인천,결빙 서리 눈 연무 박무,연무 서리,ぅ0210-ぅゎ0300-0440. -て-てゎ0300-0350. こ0345-こわ0600-こわ0900-1040. て1035-てゎ1200-1320. て1810-てゎ2100-てゎ2400-
2020-12-23 0:00,112,인천,서리 연무 박무,연무 ぁ 박무 이슬,-て-てゎ0300-0520. こ0515-こゎ0600-こわ0900-1035. て1030-てゎ1200-てゎ1500-てわ1800-1915. ぁ1650-1710. こ1910-こわ2100-こわ2400-
2020-12-25 0:00,112,인천,결빙 서리,결빙 서리,
2020-12-26 0:00,112,인천,서리 결빙 눈 연무,연무,ぅ0040-0055. て0755-てゎ0900-てゎ1200-てゎ1500-てゎ1800-てゎ2100-てゎ2400-
2020-12-29 0:00,112,인천,박무 서리 연무,눈 박무 연무 결빙,-こ-こゐ0300-こゐ0600-0835. て0830-てわ0900-てわ1200-1330. ぅ1305-ぅゎ1500-ぅゎ1800-1910. こ1325-こわ1500-1630. て1625-てゎ1800-1810.
2020-12-31 0:00,112,인천,결빙,결빙 눈 서리,ぅ1310-1450. ぅ1555-1615.
2021-01-01 0:00,112,인천,결빙 서리 눈,결빙,ぅ1005-1030.
2021-01-03 0:00,112,인천,결빙 서리,결빙,
2021-01-06 0:00,112,인천,결빙 서리,결빙 눈 신적설 적설,ぅ1750-ぅゎ1800-よりぅ1820-らりぅ1840-よりぅ1851-らりぅ1859-よりぅ2016-らりぅ2043-ぅゎ2100-よりぅ2138-よるぅ2147-らるぅ2205-らりぅ2245-2340.
2021-01-10 0:00,112,인천,결빙 서리,결빙 눈,ぅ1815-2010.
2021-01-11 0:00,112,인천,결빙 연무 서리,연무 눈 결빙,て0150-てゎ0300-0355. て1510-1655. て1925-2005. て2240-2345. ぅ2315-ぅゎ2400-
2021-01-12 0:00,112,인천,눈 연무 결빙 박무 서리,눈 결빙 박무 연무 안개 신적설 적설 낮은안개,-ぅ-0120. て0155-てゎ0300-てゎ0600-0610. こ0605-こゎ0900-0955. て0950-てゎ1200-1335. ぅ1315-ぅわ1500-1630. こ1330-よりぐ1435-よるぐ1437-ぐわ1500-らるぐ1516-らりこ1614-こゐ1800-こゐ2100-よりづ2138-らりこ2218-こゐ2400- ぅ1825-1910. ぅ2230-2350.
2021-01-13 0:00,112,인천,적설 박무 결빙 연무,연무 황사 박무 서리 결빙,-こ-こわ0300-こゎ0600-こゎ0900-1010. て1005-てゎ1200- 1340.と1340-とゎ1500-とゎ1800-とゎ2100-とゎ2400- こ1650-こゎ1800-こゎ2100-2130.
2021-01-14 0:00,112,인천,결빙 서리 황사,,-と-とゎ0300-0340.
2021-01-15 0:00,112,인천,연무,박무 연무 서리 결빙,て0630-てゎ0900-1010. こ1250-こわ1500-こゎ1800-1935. て1930-てゎ2100-2310. こ2305-こゎ2400-
2021-01-16 0:00,112,인천,서리 결빙 박무 연무,결빙,-こ-こゎ0300-こゎ0600-0840. て0835-てゎ0900-1120.
