date,key,name,AM,PM,ISCS
2019-02-28 0:00,93,북춘천,박무 서리 결빙 연무,연무,こ0550-こゎ0600-こゎ0900-0925. て0920-1130. て1630-てゎ1800-てゎ2100-てゎ2400-
2019-03-01 0:00,93,북춘천,박무 연무 서리 결빙,연무,こ0050-こゎ0300-こわ0600-こゎ0900-0955. -て-0055. て0950-てゎ1200-1330. て1930-てゎ2100-てゎ2400-
2019-03-02 0:00,93,북춘천,박무 연무 서리 결빙,연무,こ0055-こゎ0300-こゎ0600-こゎ0900-0930. -て-0100. て1930-てゎ2100-てゎ2400-
2019-03-03 0:00,93,북춘천,박무 연무 서리 결빙,,こ0210-こゎ0300-こゎ0600-0850. -て-0215.
2019-03-04 0:00,93,북춘천,서리,연무,て1925-てゎ2100-てゎ2400-
2019-03-05 0:00,93,북춘천,박무 연무 서리 결빙,연무,こ0115-こゎ0300-こわ0600-こゐ0900-1035. -て-0120. て1030-てゐ1200-てわ1500-てわ1800-てわ2100-てわ2400-
2019-03-08 0:00,93,북춘천,서리 결빙 박무,,こ0530-こゎ0600-0745.
2019-03-09 0:00,93,북춘천,서리 결빙 노을,,
2019-03-11 0:00,93,북춘천,서리 결빙 박무,연무,こ0750-0830. て2145-てゎ2400-
2019-03-12 0:00,93,북춘천,박무 연무 이슬 서리 ぁ,ぁ 박무 노을 결빙,こ0250-こゎ0300-こわ0600-こゎ0900-こゐ1200-1402. -て-0255. ぁ0925-ぁゎ1200-1325. ぁ1410-ぁゎ1500-1510.
2019-03-13 0:00,93,북춘천,결빙 서리,결빙,
2019-03-14 0:00,93,북춘천,서리 결빙 노을,ぁ,ぁ1904-ぁゎ2100-2124.
2019-03-15 0:00,93,북춘천,ぁ 박무 결빙 서리 연무,연무 ぁ 박무 진눈깨비,ぁ0010-0020. こ0030-こわ0300-こゐ0600-こわ0900-1140. て1135-てゎ1200-1250. ぁ1425-ぁゎ1500-1630. ぁ1915-う1935-うわ2100-2135. こ1930-こゎ2100-2135. こ2335-こゎ2400-
2019-03-16 0:00,93,북춘천,박무,서리,-こ-こゎ0300-こゎ0600-0750.
2019-03-17 0:00,93,북춘천,박무 결빙 서리,노을,こ0035-こゎ0300-こゎ0600-こゎ0900-0950.
2019-03-18 0:00,93,북춘천,서리 결빙,,
